1000 1 0.0010053
2000 1 0.00379479
3000 1 0.00811633
4000 1 0.0150704
5000 1 0.0230629
6000 1 0.033003
7000 1 0.0444055
8000 1 0.0585699
9000 1 0.0713425
10000 1 0.0870428
1000 2 0.00112473
2000 2 0.00287158
3000 2 0.00564392
4000 2 0.0099538
5000 2 0.0136649
6000 2 0.0178917
7000 2 0.0236809
8000 2 0.0324829
9000 2 0.0368378
10000 2 0.0463316
1000 4 0.000547445
2000 4 0.0014029
3000 4 0.00288664
4000 4 0.00453015
5000 4 0.00668833
6000 4 0.00938519
7000 4 0.0121665
8000 4 0.0154119
9000 4 0.0195106
10000 4 0.0232893
1000 8 0.000619226
2000 8 0.00125095
3000 8 0.00229326
4000 8 0.00381656
5000 8 0.00500466
6000 8 0.00565127
7000 8 0.00726283
8000 8 0.010959
9000 8 0.0127636
10000 8 0.0170074
1000 16 0.00126051
2000 16 0.00144137
3000 16 0.00282515
4000 16 0.00285068
5000 16 0.00514199
6000 16 0.00575018
7000 16 0.00686946
8000 16 0.00914999
9000 16 0.0112241
10000 16 0.0135945
1000 32 0.00227143
2000 32 0.00269032
3000 32 0.00284841
4000 32 0.00399735
5000 32 0.00524821
6000 32 0.00693042
7000 32 0.00850887
8000 32 0.0103926
9000 32 0.0125115
10000 32 0.0142171
