1000000, 1, 0.0905656
2000000, 1, 0.186874
3000000, 1, 0.289956
4000000, 1, 0.388003
5000000, 1, 0.494505
6000000, 1, 0.593488
7000000, 1, 0.703568
8000000, 1, 0.812297
9000000, 1, 0.915801
10000000, 1, 1.01992
1000000, 2, 0.0596528
2000000, 2, 0.0994997
3000000, 2, 0.157488
4000000, 2, 0.202421
5000000, 2, 0.271797
6000000, 2, 0.311608
7000000, 2, 0.368074
8000000, 2, 0.513728
9000000, 2, 0.899759
10000000, 2, 0.919166
1000000, 4, 0.0642706
2000000, 4, 0.0748143
3000000, 4, 0.105582
4000000, 4, 0.212758
5000000, 4, 0.170873
6000000, 4, 0.205675
7000000, 4, 0.381538
8000000, 4, 0.270305
9000000, 4, 0.376
10000000, 4, 0.477946
1000000, 8, 0.0268049
2000000, 8, 0.0550303
3000000, 8, 0.0818924
4000000, 8, 0.0967082
5000000, 8, 0.13965
6000000, 8, 0.192228
7000000, 8, 0.157184
8000000, 8, 0.201503
9000000, 8, 0.263204
10000000, 8, 0.252365
1000000, 16, 0.0221507
2000000, 16, 0.0364411
3000000, 16, 0.0634671
4000000, 16, 0.0671962
5000000, 16, 0.0863201
6000000, 16, 0.101773
7000000, 16, 0.119503
8000000, 16, 0.12561
9000000, 16, 0.152184
10000000, 16, 0.201043
1000000, 32, 0.016401
2000000, 32, 0.0286974
3000000, 32, 0.0440237
4000000, 32, 0.0631265
5000000, 32, 0.070933
6000000, 32, 0.0935936
7000000, 32, 0.109836
8000000, 32, 0.120604
9000000, 32, 0.134444
10000000, 32, 0.145356
1000000, 64, 0.0190179
2000000, 64, 0.0338848
3000000, 64, 0.0459638
4000000, 64, 0.062714
5000000, 64, 0.0737058
6000000, 64, 0.0926326
7000000, 64, 0.108482
8000000, 64, 0.115393
9000000, 64, 0.129763
10000000, 64, 0.141676
1000000, 128, 0.0219338
2000000, 128, 0.0308843
3000000, 128, 0.0488019
4000000, 128, 0.0619324
5000000, 128, 0.077508
6000000, 128, 0.091094
7000000, 128, 0.10674
8000000, 128, 0.12332
9000000, 128, 0.1375
10000000, 128, 0.145532
