size: 3000, threads: 1, time: 0.00807955, tot = 40471218650341, min = 1, max = 8999999 
size: 3000, threads: 2, time: 0.00472037, tot = 40449244715286, min = 0, max = 8999999 
size: 3000, threads: 4, time: 0.00283314, tot = 40471149378351, min = 1, max = 8999999 
size: 3000, threads: 8, time: 0.00220893, tot = 40448222460070, min = 1, max = 8999997 
size: 3000, threads: 16, time: 0.00503693, tot = 40468856202184, min = 0, max = 8999998 
size: 3000, threads: 32, time: 0.00305292, tot = 40478737568540, min = 0, max = 8999995 
size: 4000, threads: 1, time: 0.0145712, tot = 127855243195951, min = 0, max = 15999999 
size: 4000, threads: 2, time: 0.0144379, tot = 127842880949114, min = 0, max = 15999999 
size: 4000, threads: 4, time: 0.00467489, tot = 127833399430619, min = 1, max = 15999999 
size: 4000, threads: 8, time: 0.00396433, tot = 127871837925696, min = 2, max = 15999997 
size: 4000, threads: 16, time: 0.00299734, tot = 127823953834444, min = 1, max = 15999998 
size: 4000, threads: 32, time: 0.00373802, tot = 127858573507449, min = 1, max = 15999998 
size: 5000, threads: 1, time: 0.0233239, tot = 312166922203111, min = 3, max = 24999999 
size: 5000, threads: 2, time: 0.0124977, tot = 312200942263406, min = 1, max = 24999997 
size: 5000, threads: 4, time: 0.00673999, tot = 312189389113094, min = 0, max = 24999999 
size: 5000, threads: 8, time: 0.00409916, tot = 312183830554385, min = 0, max = 24999998 
size: 5000, threads: 16, time: 0.00396121, tot = 312158440855782, min = 0, max = 24999998 
size: 5000, threads: 32, time: 0.00504537, tot = 312150833163364, min = 0, max = 24999999 
size: 6000, threads: 1, time: 0.0327335, tot = 645505520077383, min = 0, max = 35999998 
size: 6000, threads: 2, time: 0.017281, tot = 645663168408892, min = 4, max = 35999998 
size: 6000, threads: 4, time: 0.00977627, tot = 645478137023821, min = 0, max = 35999998 
size: 6000, threads: 8, time: 0.00521619, tot = 645558337052487, min = 0, max = 35999997 
size: 6000, threads: 16, time: 0.00562251, tot = 645540531164668, min = 0, max = 35999999 
size: 6000, threads: 32, time: 0.00662111, tot = 645520420618996, min = 0, max = 35999998 
size: 7000, threads: 1, time: 0.0442837, tot = 1196556947375976, min = 2, max = 48999997 
size: 7000, threads: 2, time: 0.0245598, tot = 1196612190988028, min = 0, max = 48999999 
size: 7000, threads: 4, time: 0.0115721, tot = 1196852839467140, min = 0, max = 48999999 
size: 7000, threads: 8, time: 0.00663494, tot = 1196525052624704, min = 1, max = 48999999 
size: 7000, threads: 16, time: 0.00676944, tot = 1196489946141003, min = 0, max = 48999999 
size: 7000, threads: 32, time: 0.00864171, tot = 1196530969204189, min = 1, max = 48999998 
size: 8000, threads: 1, time: 0.0579058, tot = 2033151729748124, min = 0, max = 63999998 
size: 8000, threads: 2, time: 0.0415919, tot = 2033037867501269, min = 0, max = 63999998 
size: 8000, threads: 4, time: 0.0152964, tot = 2032860896834311, min = 0, max = 63999999 
size: 8000, threads: 8, time: 0.00855553, tot = 2032514631868154, min = 3, max = 63999998 
size: 8000, threads: 16, time: 0.00929693, tot = 2032887689041010, min = 1, max = 63999999 
size: 8000, threads: 32, time: 0.0102773, tot = 2032882121682995, min = 0, max = 63999999 
size: 9000, threads: 1, time: 0.070917, tot = 3249475136010004, min = 2, max = 80999999 
size: 9000, threads: 2, time: 0.0366055, tot = 3249287977050528, min = 2, max = 80999998 
size: 9000, threads: 4, time: 0.0188342, tot = 3249377419956948, min = 0, max = 80999999 
size: 9000, threads: 8, time: 0.0127369, tot = 3249263341323737, min = 0, max = 80999999 
size: 9000, threads: 16, time: 0.0100191, tot = 3249692664864290, min = 1, max = 80999999 
size: 9000, threads: 32, time: 0.0126063, tot = 3249701143556410, min = 1, max = 80999999 
size: 10000, threads: 1, time: 0.0866048, tot = 4942446640641012, min = 0, max = 99999999 
size: 10000, threads: 2, time: 0.044592, tot = 4941521277455266, min = 0, max = 99999999 
size: 10000, threads: 4, time: 0.0226946, tot = 4942067756053192, min = 1, max = 99999999 
size: 10000, threads: 8, time: 0.0206469, tot = 4941827895071328, min = 1, max = 99999997 
size: 10000, threads: 16, time: 0.0131269, tot = 4941728855618730, min = 0, max = 99999999 
size: 10000, threads: 32, time: 0.014877, tot = 4941700162179919, min = 1, max = 99999995 
size: 1000, threads: 1, time: 0.00105365, tot = 500350623460, min = 0, max = 999999 
