1000 1 0.00103943
1000 2 0.00104104
1000 4 0.000465617
1000 8 0.000631346
1000 16 0.00107284
1000 32 0.002253
2000 1 0.00426707
2000 2 0.00289635
2000 4 0.00123545
2000 8 0.00128271
2000 16 0.00154841
2000 32 0.00276411
3000 1 0.00811587
3000 2 0.00560349
3000 4 0.00243515
3000 8 0.00310689
3000 16 0.00235278
3000 32 0.00281664
4000 1 0.0148961
4000 2 0.0102372
4000 4 0.00425052
4000 8 0.00385228
4000 16 0.0027604
4000 32 0.00421512
5000 1 0.0232179
5000 2 0.0123865
5000 4 0.00662597
5000 8 0.00631156
5000 16 0.00439354
5000 32 0.00530801
6000 1 0.0334735
6000 2 0.0175529
6000 4 0.0091009
6000 8 0.00499618
6000 16 0.00479589
6000 32 0.00703749
7000 1 0.0439965
7000 2 0.0227371
7000 4 0.0121063
7000 8 0.00648517
7000 16 0.00653749
7000 32 0.00808711
8000 1 0.0582646
8000 2 0.0296888
8000 4 0.0152357
8000 8 0.0092533
8000 16 0.00850475
8000 32 0.0105282
9000 1 0.07148
9000 2 0.0379567
9000 4 0.0191715
9000 8 0.0106698
9000 16 0.0110817
9000 32 0.0123598
10000 1 0.0872798
10000 2 0.0454225
10000 4 0.0224945
10000 8 0.0121504
10000 16 0.012124
10000 32 0.0142768
1000 1 0.000960989
1000 2 0.00110611
1000 4 0.000446751
1000 8 0.000464396
1000 16 0.00108256
1000 32 0.00241091
2000 1 0.00351293
2000 2 0.00245192
2000 4 0.00144219
2000 8 0.00127397
2000 16 0.00142998
2000 32 0.00277028
3000 1 0.00807955
3000 2 0.00472037
3000 4 0.00283314
3000 8 0.00220893
3000 16 0.00503693
3000 32 0.00305292
4000 1 0.0145712
4000 2 0.0144379
4000 4 0.00467489
4000 8 0.00396433
4000 16 0.00299734
4000 32 0.00373802
5000 1 0.0233239
5000 2 0.0124977
5000 4 0.00673999
5000 8 0.00409916
5000 16 0.00396121
5000 32 0.00504537
6000 1 0.0327335
6000 2 0.017281
6000 4 0.00977627
6000 8 0.00521619
6000 16 0.00562251
6000 32 0.00662111
7000 1 0.0442837
7000 2 0.0245598
7000 4 0.0115721
7000 8 0.00663494
7000 16 0.00676944
7000 32 0.00864171
8000 1 0.0579058
8000 2 0.0415919
8000 4 0.0152964
8000 8 0.00855553
8000 16 0.00929693
8000 32 0.0102773
9000 1 0.070917
9000 2 0.0366055
9000 4 0.0188342
9000 8 0.0127369
9000 16 0.0100191
9000 32 0.0126063
10000 1 0.0866048
10000 2 0.044592
10000 4 0.0226946
10000 8 0.0206469
10000 16 0.0131269
10000 32 0.014877
1000 1 0.00105365
1000 2 0.0011737
1000 4 0.000450403
1000 8 0.000704156
1000 16 0.00218112
1000 32 0.00244659
2000 1 0.0037252
2000 2 0.00240466
2000 4 0.00142765
2000 8 0.00131635
2000 16 0.00149934
2000 32 0.00280899
3000 1 0.00810008
3000 2 0.0049436
3000 4 0.00290957
3000 8 0.00194419
3000 16 0.00196772
3000 32 0.00285901
4000 1 0.0155223
4000 2 0.00805244
4000 4 0.00498038
4000 8 0.0026747
4000 16 0.00285663
4000 32 0.00378613
5000 1 0.0227972
5000 2 0.0182173
5000 4 0.00660097
5000 8 0.00392147
5000 16 0.00443343
5000 32 0.00523006
6000 1 0.0326919
6000 2 0.0192089
6000 4 0.00915623
6000 8 0.00543204
6000 16 0.00477197
6000 32 0.00723661
7000 1 0.0445739
7000 2 0.0232937
7000 4 0.0124307
7000 8 0.00661797
7000 16 0.00785903
7000 32 0.00826156
8000 1 0.0599715
8000 2 0.0299557
8000 4 0.015214
8000 8 0.00861458
8000 16 0.00846796
8000 32 0.00970422
9000 1 0.0718511
9000 2 0.0367483
9000 4 0.0185386
9000 8 0.0180752
9000 16 0.0140876
9000 32 0.0127473
10000 1 0.0871203
10000 2 0.0453295
10000 4 0.0243033
10000 8 0.0169827
10000 16 0.0173613
10000 32 0.0138814
1000 1 0.00102125
1000 2 0.00113635
1000 4 0.000622832
1000 8 0.000587312
1000 16 0.00115576
1000 32 0.00221443
2000 1 0.0037176
2000 2 0.00272276
2000 4 0.00126699
2000 8 0.00121152
2000 16 0.00149726
2000 32 0.00224158
3000 1 0.00818283
3000 2 0.00470207
3000 4 0.00358692
3000 8 0.00188548
3000 16 0.00224294
3000 32 0.00274615
4000 1 0.0156145
4000 2 0.00817654
4000 4 0.00468342
4000 8 0.00449641
4000 16 0.00276435
4000 32 0.00423466
5000 1 0.0230197
5000 2 0.0124046
5000 4 0.00679709
5000 8 0.00588798
5000 16 0.00423373
5000 32 0.00570379
6000 1 0.03333
6000 2 0.0174429
6000 4 0.0092813
6000 8 0.00711575
6000 16 0.0082072
6000 32 0.0067013
7000 1 0.0450261
7000 2 0.024507
7000 4 0.012511
7000 8 0.0094766
7000 16 0.00663424
7000 32 0.00891863
8000 1 0.0581591
8000 2 0.0308082
8000 4 0.015709
8000 8 0.0142767
8000 16 0.0101364
8000 32 0.0107032
9000 1 0.0709212
9000 2 0.0363125
9000 4 0.0195903
9000 8 0.0108216
9000 16 0.0106237
9000 32 0.0127594
10000 1 0.0871526
10000 2 0.0515976
10000 4 0.0223964
10000 8 0.0190716
10000 16 0.0128598
10000 32 0.0135818
1000 1 0.000951165
1000 2 0.00116643
1000 4 0.000751622
